Date,AAPL US Equity - Price Earnings Ratio (P/E),AAPL US Equity - Enterprise Value/EBITDA,AAPL US Equity - Price to Sales Ratio,IBM US Equity - Price Earnings Ratio (P/E),IBM US Equity - Enterprise Value/EBITDA,IBM US Equity - Price to Sales Ratio,IBM US Equity - Price to Free Cash Flow,WMT US Equity - Price Earnings Ratio (P/E),WMT US Equity - Enterprise Value/EBITDA,WMT US Equity - Price to Sales Ratio,KO Equity (USD) - Price Earnings Ratio (P/E),KO Equity (USD) - Enterprise Value/EBITDA,KO Equity (USD) - Price to Sales Ratio
9/1/2009,19.1583,10.0652,3.5463,12.0133,7.9783,1.5535,9.43,14.4605,6.8307,0.4953,16.1256,12.7206,3.6429
8/1/2009,18.6093,9.7017,3.4447,12.0011,7.9709,1.5519,9.4204,14.179,6.7195,0.4857,16.4794,12.977,3.7229
7/1/2009,16.2221,8.0766,3.0028,10.6262,7.1873,1.3741,8.3412,13.8881,6.5597,0.4716,15.3605,12.1946,3.498
6/1/2009,16.9339,8.6082,3.0116,11.2747,7.4847,1.3593,8.9791,14.2608,6.7296,0.4843,15.735,12.4779,3.5833
5/1/2009,15.6895,7.7776,2.7903,10.9491,7.2913,1.3201,8.7198,14.4501,6.8044,0.4907,13.7793,10.997,3.1379
4/1/2009,13.1072,6.0389,2.331,10.2786,6.9869,1.2392,8.1858,14.9804,6.9606,0.5075,13.9524,11.0032,3.1853
3/1/2009,11.9879,5.2525,2.0309,9.8107,6.7558,1.1529,8.1456,14.1581,6.6363,0.4796,12.9683,10.2615,2.9606
2/1/2009,12.098,5.3271,2.0495,9.7702,6.7248,1.1481,8.112,13.5485,6.3959,0.459,13.5619,10.7041,3.0962
1/1/2009,11.4564,4.8779,1.9408,8.9717,6.2691,1.0543,7.4491,16.2965,8.7709,0.5506,14.3714,11.3139,3.281
12/1/2008,13.8107,6.618,2.2285,9.1912,6.335,1.0131,8.4644,16.2442,8.7686,0.5489,15.1683,11.2722,3.3759
11/1/2008,16.0343,8.1268,2.5873,10.4719,7.0556,1.1543,9.6438,16.2238,8.7594,0.5482,14.2589,10.6172,3.1735
10/1/2008,16.9389,8.7114,2.7332,13.1741,8.6389,1.4521,12.1323,17.8329,9.3109,0.6021,17.1133,12.6622,3.8088
9/1/2008,32.6019,19.6879,4.6852,14.3369,9.2202,1.5341,12.0659,17.5887,9.2212,0.5939,17.532,13.0166,3.8345
8/1/2008,30.5673,18.262,4.3929,15.073,9.6326,1.6129,12.6854,17.4547,9.1612,0.5893,17.3401,12.879,3.7925
7/1/2008,32.2,19.2979,4.6275,13.96,9.1167,1.4938,11.7487,17.2477,9.1268,0.5842,17.5017,13.0562,3.8279
6/1/2008,38.5992,24.1787,5.544,16.2027,10.2861,1.7005,13.7013,17.7204,9.3498,0.6002,20.3772,15.1449,4.3984
5/1/2008,35.5726,22.0265,5.1093,15.1099,9.6723,1.5858,12.7772,17.794,9.3826,0.6027,20.9502,15.5575,4.5221
4/1/2008,29.3456,17.5503,4.2149,14.4138,9.3453,1.5128,12.1886,16.5744,8.8238,0.5654,21.6619,16.0782,4.6757
3/1/2008,27.5374,16.4234,4.0202,15.1259,9.4427,1.5609,13.3926,15.6022,8.4798,0.5323,21.6519,16.2345,4.6851
2/1/2008,29.815,18.0498,4.3527,14.2292,8.907,1.4684,12.5987,15.964,8.6428,0.5446,21.8519,16.2905,4.7284
1/1/2008,43.63,27.8389,6.3695,14.3607,8.9799,1.4819,12.7151,15.5408,8.4895,0.5271,22.7296,16.9216,4.9183
12/1/2007,46.4847,30.451,6.4087,15.1074,9.3464,1.5167,12.3071,15.6618,8.5431,0.5312,23.5227,17.8387,5.2409
11/1/2007,48.4566,31.6439,6.6806,16.6787,10.193,1.6745,13.5872,14.7822,8.2571,0.5014,23.3939,17.7442,5.2122
10/1/2007,39.1505,24.9425,5.3976,16.92,10.2069,1.6987,13.7838,14.6477,8.4636,0.4974,21.7689,16.57,4.8502
9/1/2007,38.7899,24.8627,5.2236,17.3611,10.5248,1.7525,14.6404,14.6409,8.5294,0.4972,21.0902,16.0797,4.7689
8/1/2007,36.9076,23.3563,4.9701,16.4624,10.0529,1.6618,13.8826,15.4195,8.9013,0.5236,20.4353,15.6002,4.6208
7/1/2007,34.1849,21.3966,4.6035,15.659,10.3831,1.5807,13.2051,16.3639,9.338,0.5622,20.5137,15.6336,4.6385
6/1/2007,38.2306,24.5795,4.8043,16.3699,9.9794,1.6613,14.7576,16.1905,9.2846,0.5562,21.7172,16.1156,4.9577
5/1/2007,31.4827,19.5678,3.9563,15.6957,9.6,1.5929,14.1498,16.2993,9.3369,0.56,21.3893,15.8775,4.8829
4/1/2007,29.3091,17.9856,3.6832,14.4749,9.0265,1.469,13.0493,16.1897,9.2003,0.5607,19.6721,14.6638,4.4909
3/1/2007,30.5451,18.6425,3.4842,14.5768,8.9858,1.4844,12.7099,16.6586,9.5129,0.5769,19.6962,14.6553,4.5494
2/1/2007,30.9495,18.8939,3.5303,15.5508,9.5435,1.5836,13.5592,16.4448,9.4082,0.5695,20.2025,15.2052,4.6664
1/1/2007,30.6282,18.6357,3.4936,15.2371,9.3654,1.5517,13.2857,16.318,10.0125,0.568,20.3587,15.3203,4.7024
12/1/2006,40.2018,25.42,4.0028,14.7561,9.0644,1.5175,12.5108,16.2898,9.998,0.567,20.2727,14.9529,4.6558
11/1/2006,35.5614,21.9751,3.5407,14.8219,9.1019,1.5243,12.5666,17.4134,10.5778,0.6061,20.2251,14.9181,4.6448
10/1/2006,33.7632,20.6729,3.3617,13.154,8.2302,1.3527,11.1525,17.5516,10.178,0.6231,19.342,14.2634,4.442
9/1/2006,31.5581,19.6721,3.1247,13.427,8.2617,1.3703,10.6704,15.9146,9.369,0.565,19.8274,14.5579,4.5562
8/1/2006,31.6093,19.71,3.1298,12.8367,7.9302,1.31,10.2013,15.8363,9.3279,0.5622,19.6903,14.4579,4.5246
7/1/2006,26.6372,16.0246,2.6375,12.7388,8.0094,1.3,10.1235,17.3899,10.1568,0.6254,19.0354,14.0596,4.3742
6/1/2006,30.1869,18.3976,2.8598,13.677,9.1458,1.3605,10.053,17.491,10.2061,0.629,20.0136,14.6371,4.5347
5/1/2006,35.5505,22.3332,3.368,14.0947,9.4039,1.4021,10.36,16.2563,9.5901,0.5846,19.0727,13.9566,4.3215
4/1/2006,31.6768,19.5127,3.001,14.1169,9.5128,1.4043,10.3764,17.6269,10.2971,0.6311,19.0318,13.9978,4.3122
3/1/2006,36.8226,22.6672,3.4716,14.3257,9.3172,1.3457,11.0702,16.9254,9.9401,0.606,19.2523,14.1246,4.3332
2/1/2006,40.5968,25.1974,3.8274,14.5149,9.4321,1.3635,11.2165,17.2052,10.0794,0.616,18.9817,13.9354,4.2722
1/1/2006,38.6505,23.798,3.6439,14.6756,9.5297,1.3786,11.3406,18.2101,10.3508,0.6425,18.4908,13.5785,4.1618
12/1/2005,43.4744,26.3546,3.9357,17.2941,10.6985,1.46,15.3232,18.8949,10.6793,0.6667,19.5826,13.9741,4.4912
11/1/2005,36.9167,21.6953,3.342,15.9285,9.9261,1.3448,14.1132,18.4086,10.4448,0.6495,19.6239,14.0038,4.5007
