Date,AAPL US Equity - Price Earnings Ratio (P/E),AAPL US Equity - Enterprise Value/EBITDA,AAPL US Equity - Price to Sales Ratio,IBM US Equity - Price Earnings Ratio (P/E),IBM US Equity - Enterprise Value/EBITDA,IBM US Equity - Price to Sales Ratio,IBM US Equity - Price to Free Cash Flow,WMT US Equity - Price Earnings Ratio (P/E),WMT US Equity - Enterprise Value/EBITDA,WMT US Equity - Price to Sales Ratio,KO Equity (USD) - Price Earnings Ratio (P/E),KO Equity (USD) - Enterprise Value/EBITDA,KO Equity (USD) - Price to Sales Ratio
10/1/2018,19.0774,11.8298,4.2237,10.1932,9.8151,1.6499,9.986,19.7384,10.114,0.5447,22.1433,22.4841,5.6514
9/1/2018,20.8833,12.3552,4.5025,9.9983,9.8346,1.5978,10.2576,20.1482,10.368,0.556,22.2992,22.6743,5.4097
8/1/2018,17.4577,10.0902,3.7639,9.8925,9.7483,1.5809,10.1491,18.7547,9.7334,0.5175,23.3299,23.582,5.6598
7/1/2018,16.9824,9.941,3.6615,9.5355,9.5015,1.5238,9.7828,18.8242,9.3517,0.5039,21.944,22.3721,5.3235
6/1/2018,18.2188,10.1221,3.862,9.8592,9.8427,1.5633,8.9239,18.1407,9.0601,0.4856,20.681,23.804,5.1836
5/1/2018,16.1119,9.0752,3.4154,10.1139,10.0531,1.6037,9.1544,19.4418,9.6237,0.5204,20.782,23.9486,5.209
4/1/2018,16.3576,9.2426,3.4675,10.7048,10.5723,1.6974,9.6893,20.1746,9.7593,0.5324,20.8879,24.0535,5.2355
3/1/2018,18.5177,9.9912,3.8436,11.2136,10.7554,1.7534,10.277,20.4104,9.8588,0.5386,21.3076,23.6962,5.0987
2/1/2018,17.4063,9.2894,3.6129,11.78,11.2576,1.8419,10.796,24.1723,11.4459,0.6379,23.462,25.7365,5.6143
1/1/2018,17.5935,9.4128,3.6518,11.0402,10.6606,1.7263,10.1181,22.5457,10.2047,0.6029,22.619,24.9283,5.4125
12/1/2017,18.8694,10.1973,3.9181,11.1049,10.4983,1.7622,11.7796,22.1986,10.1408,0.5937,22.9514,24.1142,5.2537
11/1/2017,18.5609,10.0686,3.8541,11.1114,10.5036,1.7633,11.7865,19.9338,9.2348,0.5331,23.0567,24.2137,5.2778
10/1/2017,16.9226,8.9908,3.5139,10.4637,10.0323,1.6605,11.0994,17.922,8.2986,0.4862,22.5703,23.7772,5.1664
9/1/2017,18.657,9.8841,3.8698,10.3494,9.8983,1.646,10.4563,17.906,8.2922,0.4858,22.9073,23.721,5.0341
8/1/2017,16.9198,8.8636,3.5095,10.468,9.9952,1.6649,10.5762,18.3463,8.5331,0.4977,23.0532,23.8564,5.0662
7/1/2017,16.384,8.5138,3.3983,11.1308,10.6101,1.7703,11.2459,17.3977,8.1041,0.4772,22.5553,23.4299,4.9568
6/1/2017,17.8795,9.1537,3.688,11.0315,10.3812,1.7458,11.3949,18.069,8.4118,0.4957,24.0941,21.4456,4.8132
5/1/2017,16.8132,8.5397,3.4681,11.5852,10.8269,1.8334,11.9668,17.2828,8.0973,0.4741,22.8648,20.4647,4.5676
4/1/2017,16.8144,8.5405,3.4683,12.5862,11.6728,1.9919,13.0008,16.6467,7.8315,0.4599,22.4885,20.2462,4.4925
3/1/2017,16.3957,8.0313,3.3852,12.488,12.4204,2.0528,12.1481,16.3811,7.8121,0.4526,21.9396,19.5736,4.3277
2/1/2017,14.5238,6.8745,2.9987,12.12,12.1026,1.9923,11.79,15.4134,7.42,0.4259,21.7357,19.4906,4.2875
1/1/2017,13.8619,6.5813,2.8621,11.5276,11.591,1.8949,11.2138,15.292,7.7599,0.4468,21.6782,19.445,4.2761
12/1/2016,13.4513,6.2212,2.8102,11.4163,11.0732,1.8562,10.0109,15.5819,7.9169,0.4553,20.9836,18.4089,4.1109
11/1/2016,13.8189,6.4495,2.887,10.816,10.57,1.7586,9.4845,15.4912,7.8863,0.4526,22.0497,19.2399,4.3198
10/1/2016,13.7593,6.5024,2.8745,11.1791,10.9236,1.8176,9.803,15.9234,7.825,0.4713,22.0081,19.2197,4.3116
9/1/2016,12.4567,5.7479,2.6713,10.805,10.786,1.8263,9.8934,15.7733,7.7622,0.4669,22.4051,19.5781,4.3523
8/1/2016,12.2348,5.6102,2.6237,10.9233,10.887,1.8463,10.0017,16.1111,7.9545,0.4769,22.5082,19.6579,4.3723
7/1/2016,11.2239,5.098,2.4069,10.3221,10.4117,1.7447,9.4512,16.0866,8.0917,0.4821,22.993,20.9864,4.4878
6/1/2016,11.1572,5.0182,2.46,9.7924,9.7712,1.7662,9.3483,15.5932,7.9287,0.4673,22.6227,20.6864,4.4155
5/1/2016,10.4735,4.5912,2.3092,9.2956,9.3395,1.6766,8.874,14.7318,7.5593,0.4415,22.7242,20.7686,4.4353
4/1/2016,12.1773,5.7485,2.6849,9.6466,9.6525,1.7399,9.209,14.9243,7.6315,0.4562,22.8306,21.0541,4.5575
3/1/2016,10.3108,4.6301,2.3333,8.2461,7.9419,1.4981,9.1098,14.4558,7.5438,0.4419,21.2262,19.738,4.2372
2/1/2016,10.3801,4.6736,2.349,7.8534,7.6851,1.4268,8.676,14.4601,7.5457,0.442,21.1229,19.7312,4.2166
1/1/2016,11.2247,5.2431,2.5401,8.6608,8.3449,1.5735,9.568,13.1006,6.936,0.4082,21.1426,19.7475,4.2205
12/1/2015,12.8443,6.2825,2.9169,8.528,8.0754,1.5642,9.253,12.5749,6.7161,0.3918,20.4618,19.7099,4.1148
11/1/2015,12.9746,6.3636,2.9465,8.5683,8.1081,1.5717,9.2968,12.2329,6.5684,0.3812,20.3322,19.5991,4.0888
10/1/2015,11.9757,5.9121,2.7196,8.8674,8.4208,1.6265,9.6213,13.3967,7.1015,0.431,19.0779,18.071,3.8346
9/1/2015,13.0273,6.351,2.9261,7.896,8.184,1.6063,10.1546,13.374,7.1183,0.4302,18.6974,17.7535,3.7582
8/1/2015,14.014,6.9763,3.1477,8.6488,8.8556,1.7594,11.1228,14.8719,7.7804,0.4784,19.5344,18.4519,3.9264
7/1/2015,14.4905,7.3723,3.2548,8.6846,8.9287,1.7667,11.1688,14.3679,7.5364,0.4719,18.6275,16.692,3.7238
6/1/2015,16.1239,8.238,3.6085,8.8591,8.694,1.7844,11.9921,15.0445,7.8465,0.4941,19.449,17.3418,3.8881
5/1/2015,15.489,7.8328,3.4664,8.9448,8.7675,1.8016,12.1081,15.8102,8.1864,0.5192,19.259,17.1916,3.8501
4/1/2015,15.3999,7.8846,3.4464,8.3813,8.3104,1.6882,11.3454,16.428,8.4269,0.5471,20.0946,16.8995,3.8678
3/1/2015,17.3656,8.9664,3.8294,8.5584,8.2893,1.6728,11.7904,16.7636,8.576,0.5583,21.4574,17.9193,4.1301
2/1/2015,15.8381,7.9937,3.4925,8.1023,7.915,1.5837,11.1621,16.9733,8.6692,0.5653,20.4019,17.1722,3.9269
1/1/2015,14.9215,7.4754,3.2904,8.4791,8.2317,1.6573,11.6812,17.4473,9.1209,0.5739,20.9222,17.5658,4.0271
12/1/2014,18.5553,9.5545,3.9695,8.2439,7.9651,1.654,11.8702,17.7845,9.2691,0.585,21.8973,17.3534,4.2685
11/1/2014,16.85,8.4941,3.6047,8.3573,8.0576,1.6767,12.0334,15.4949,8.2517,0.5097,20.4564,16.309,3.9876
10/1/2014,15.7189,7.9957,3.3627,9.65,9.1764,1.9361,13.8948,15.5672,8.2365,0.5156,20.8374,16.6052,4.0619
9/1/2014,16.5912,8.1232,3.5612,10.8456,9.1043,1.9865,14.459,15.3697,8.151,0.5091,20.3989,16.6539,3.9778
8/1/2014,15.4743,7.4244,3.3215,10.81,9.0786,1.98,14.4116,14.9788,7.9771,0.4962,19.2107,15.7745,3.7461
7/1/2014,15.0422,7.2197,3.2287,10.2235,8.7624,1.8725,13.6297,15.0877,8.1624,0.5115,20.7118,16.9178,4.0389
6/1/2014,15.1459,7.1222,3.2238,10.6775,9.2489,1.9341,14.5158,15.4294,8.3253,0.5231,20.0519,16.3545,3.8991
5/1/2014,14.1192,6.4827,3.0053,11.3789,9.7765,2.0612,15.4693,16.0203,8.5921,0.5432,19.9931,16.3111,3.8877
4/1/2014,12.8427,5.9718,2.7336,11.1484,9.8447,2.0194,15.1559,15.2386,8.2587,0.5244,18.9491,15.5761,3.6847
3/1/2014,13.0556,5.7901,2.7613,10.7754,9.0738,1.9525,13.916,14.8936,8.1162,0.5125,18.5585,15.1891,3.6154
2/1/2014,12.4195,5.3858,2.6268,10.2814,9.0327,1.863,13.278,14.8896,8.1144,0.5124,18.3739,15.083,3.5794
1/1/2014,13.9184,6.4155,2.9438,10.9151,9.5306,1.9778,14.0964,15.1618,8.3231,0.5466,20.0695,16.3457,3.9097
12/1/2013,14.0315,6.6453,3.0162,10.9315,8.9503,1.8838,13.873,15.6089,8.545,0.5627,19.3732,15.7838,3.7844
11/1/2013,13.1896,6.1069,2.8352,10.9029,8.9294,1.8789,13.8367,14.7881,8.1701,0.5331,19.0743,15.5606,3.726
10/1/2013,12.03,5.4402,2.586,11.2661,9.267,1.9414,14.2977,14.4453,7.8662,0.5198,18.2597,15.0052,3.5668
9/1/2013,12.1682,5.602,2.6882,11.2568,9.2417,1.9032,13.4313,14.2539,7.8213,0.5129,18.6161,14.7717,3.5873
8/1/2013,11.3019,5.0379,2.4968,12.0455,9.8258,2.0366,14.3723,15.2227,8.2661,0.5478,19.5425,15.4402,3.7659
7/1/2013,9.9033,4.3413,2.1878,11.8027,9.7527,1.9956,14.0827,14.7213,8.0074,0.5305,19.5571,15.5163,3.7687
6/1/2013,10.7361,4.8353,2.4959,13.0046,10.0397,2.1769,14.5261,14.7905,8.0714,0.533,19.5785,15.3878,3.7457
5/1/2013,10.5701,4.7216,2.4573,12.662,9.7961,2.1195,14.1435,15.3597,8.3321,0.5535,20.7241,16.2093,3.9649
4/1/2013,10.5672,4.7228,2.4567,13.3347,10.3233,2.2321,14.8948,14.9361,8.0351,0.5383,19.7988,15.5552,3.7879
3/1/2013,10.0091,4.6813,2.5114,12.6368,9.6758,2.0955,14.104,14.1277,7.7703,0.5092,19.0417,14.8108,3.6321
2/1/2013,10.3286,4.9044,2.5916,12.7777,9.8999,2.1189,14.2613,13.9621,7.6936,0.5032,18.3139,14.377,3.4933
1/1/2013,12.0674,6.1345,3.0279,12.0528,9.3817,1.9987,13.4523,13.8679,7.8374,0.4991,17.827,14.029,3.4004
12/1/2012,13.2536,7.3365,3.495,12.281,9.543,2.0029,12.9604,14.6382,8.2227,0.5268,19.3782,14.747,3.5988
11/1/2012,13.481,7.4979,3.555,12.5692,9.748,2.0499,13.2645,15.248,8.5033,0.5488,19,14.4826,3.5286
10/1/2012,15.1065,8.6144,3.9836,13.404,10.4503,2.1861,14.1455,15.3112,8.3828,0.5472,19.3833,14.8012,3.5998
9/1/2012,15.638,9.0674,4.1685,13.0433,9.5942,2.0478,13.3241,15.0622,8.3147,0.5383,18.9568,14.7812,3.5703
8/1/2012,14.3573,8.1529,3.8271,13.1189,9.6453,2.0596,13.4014,15.4419,8.4882,0.5519,20.4774,15.8647,3.8567
7/1/2012,13.7283,7.6792,3.6595,13.0921,9.7101,2.0554,13.374,14.6734,8.1423,0.5258,19.816,15.4371,3.7321
6/1/2012,14.0875,8.0685,3.7749,13.2849,9.5157,2.0341,13.3296,13.8526,7.8002,0.4964,19.2874,14.9818,3.6082
5/1/2012,14.2399,8.1782,3.8158,14.2614,10.1643,2.1836,14.3094,12.3983,7.1341,0.4443,19.6977,15.2734,3.685
4/1/2012,14.6196,8.4211,3.9175,14.3695,10.279,2.2002,14.4179,13.212,7.251,0.4735,19.1015,14.8815,3.5734
3/1/2012,15.4497,8.974,3.9368,14.0259,9.7823,2.1012,14.2228,12.7544,7.0772,0.4571,18.1057,14.2596,3.4283
2/1/2012,13.0014,7.2118,3.3129,13.7314,9.6019,2.0571,13.9242,13.2466,7.3024,0.4748,17.5018,13.8695,3.314
1/1/2012,11.5352,6.1301,2.9393,13.1097,9.3353,1.964,13.2938,13.6006,7.6196,0.474,18.1342,14.3265,3.4337
12/1/2011,13.8128,7.6859,3.2635,14.0801,9.6388,2.0482,14.8036,13.4048,7.5713,0.4672,18.32,14.6512,3.353
11/1/2011,14.6288,8.2739,3.4563,13.8277,9.4784,2.0115,14.5383,12.9087,7.3518,0.4499,18.617,14.8701,3.4074
10/1/2011,13.781,7.6381,3.256,13.0967,9.1243,1.9051,13.7697,12.0109,6.8766,0.4245,18.4099,14.866,3.3695
9/1/2011,15.2348,8.7346,3.5337,13.3045,9.1548,1.9317,13.7143,12.3094,7.0488,0.435,19.8735,16.198,3.8415
8/1/2011,15.4584,8.8976,3.5856,14.0738,9.6455,2.0434,14.5072,12.1983,6.9995,0.4311,19.1852,15.6339,3.7085
7/1/2011,13.2886,7.2916,3.0823,13.2767,9.257,1.9277,13.6856,12.714,6.9789,0.4472,19.5898,16.5126,4.0687
6/1/2011,16.5791,9.5123,3.6513,13.6348,9.2938,1.9817,13.9121,13.2117,7.2255,0.4647,19.4501,16.4047,4.0396
5/1/2011,16.6888,9.5914,3.6754,13.768,9.3783,2.001,14.0479,13.1542,7.2005,0.4627,19.6393,16.5843,4.0789
4/1/2011,16.6114,9.5356,3.6584,13.1618,9.0511,1.9129,13.4295,12.7606,6.8295,0.4505,19.7162,16.6396,4.3599
3/1/2011,19.7214,11.7249,4.2342,13.5203,9.259,1.9608,12.7351,12.7435,6.9331,0.4499,18.997,16.0783,4.2008
2/1/2011,18.9458,11.1602,4.0677,13.5303,9.4263,1.9622,12.7446,13.7462,7.3721,0.4853,18.679,16.0062,4.1305
1/1/2011,18.01,10.4223,3.8668,12.2575,8.6023,1.7776,11.5457,13.6803,6.3629,0.4789,19.5468,16.6917,4.3224
12/1/2010,20.538,12.0755,4.3404,12.3536,8.4527,1.7753,11.3091,13.7208,6.4847,0.4803,18.385,14.2338,4.5506
11/1/2010,19.8667,11.5949,4.1986,12.5405,8.5712,1.8021,11.4802,13.7411,6.4924,0.481,17.8466,13.8181,4.4173
10/1/2010,18.7294,10.726,3.9582,11.7144,8.1604,1.6834,10.7239,13.8473,6.2776,0.4855,17.4903,13.5118,4.2692
9/1/2010,18.3057,10.0581,3.8565,11.1046,7.5191,1.5759,9.5401,12.9727,6.0478,0.4548,16.702,12.911,4.0768
8/1/2010,19.3712,10.7958,4.081,11.5798,7.8175,1.6434,9.9484,13.2444,6.1516,0.4643,16.4712,12.7219,4.0204
7/1/2010,18.9405,10.4456,3.9903,11.1361,7.6557,1.5804,9.5672,12.7,5.8903,0.4447,15.638,12.1191,3.7071
6/1/2010,21.8065,12.1315,4.5292,11.5244,7.722,1.6254,9.1516,13.3579,6.1955,0.4677,16.0374,12.4205,3.8017
5/1/2010,22.1638,12.3735,4.6035,11.8685,7.9392,1.674,9.4248,14.1716,6.5179,0.4962,16.677,12.9031,3.9534
4/1/2010,19.9491,10.8271,4.1434,11.7995,7.9923,1.6642,9.37,15.0881,6.7018,0.5264,17.9714,13.7293,4.1188
3/1/2010,19.9824,10.3068,3.9323,11.9694,7.944,1.6825,9.2966,14.6729,6.6199,0.5119,17.2264,13.1741,3.948
2/1/2010,18.7562,9.5015,3.691,11.5204,7.7436,1.6193,8.9479,14.4992,6.553,0.5058,17.7263,13.6157,4.0626
1/1/2010,20.5793,10.5947,4.0498,12.3214,8.2516,1.7319,9.5701,14.9809,7.0574,0.5165,18.6249,14.2888,4.2686
12/1/2009,22.0408,11.6954,4.1614,12.3403,8.2438,1.6831,9.1337,15.2892,7.2501,0.5271,18.9577,14.8053,4.3238
11/1/2009,20.7828,10.8723,3.9239,11.7797,7.8933,1.6066,8.7188,13.9243,6.7128,0.4801,17.6684,13.8175,4.0298
10/1/2009,20.4355,10.5858,3.8583,11.682,7.8171,1.5933,8.6465,13.9545,6.5745,0.478,17.7557,13.9631,4.0112
