Date,AAPL US Equity - Price Earnings Ratio (P/E),AAPL US Equity - Enterprise Value/EBITDA,AAPL US Equity - Price to Sales Ratio,IBM US Equity - Price Earnings Ratio (P/E),IBM US Equity - Enterprise Value/EBITDA,IBM US Equity - Price to Sales Ratio,IBM US Equity - Price to Free Cash Flow,WMT US Equity - Price Earnings Ratio (P/E),WMT US Equity - Enterprise Value/EBITDA,WMT US Equity - Price to Sales Ratio,KO Equity (USD) - Price Earnings Ratio (P/E),KO Equity (USD) - Enterprise Value/EBITDA,KO Equity (USD) - Price to Sales Ratio,AAPL_returns,IBM_returns,WMT_returns,KO_returns
2020-12-01,36.5278,24.9002,7.5369,10.6387,10.5798,1.3977,7.9031,28.2502,14.4104,0.7887,26.677,24.4909,6.6139,-0.005502033186247091,-0.053781431866849916,-0.02182750435472891,-0.12199127860414638
2020-11-01,33.4013,22.693,6.8918,9.6172,9.9021,1.2635,7.1442,25.6543,13.2479,0.7163,24.8468,23.031,6.1602,0.11649693621227897,0.03388371987387728,-0.05654819557828805,0.07112410020814153
2020-10-01,35.5337,24.347,7.3318,10.4794,10.4704,1.3768,7.7847,26.7608,13.4563,0.7318,25.5241,23.5618,6.3281,0.09360655077423674,0.10621542520961125,0.10118914963677161,0.07365780550135037
2020-09-01,39.1942,26.8037,8.2889,10.2514,10.6938,1.3847,8.2044,26.558,13.3601,0.7263,25.4237,23.2425,6.1843,-0.06001207742020476,-0.08227174196616127,-0.008290908042487333,-0.018654343677036334
2020-08-01,32.2751,21.9137,6.8256,10.2207,10.6725,1.3805,8.1798,24.7505,12.5685,0.6768,24.2482,22.3168,5.8983,-0.10090826399549879,-0.0003806540950062054,0.01177634952494988,-0.0032301404015071533
2020-07-01,27.7008,18.9496,5.8583,10.0402,10.5268,1.3562,8.0354,24.048,11.9483,0.6363,22.9342,21.2797,5.5787,0.21437974109737157,0.003009682659060431,0.07302936455737452,0.048475556251368124
2020-06-01,24.9032,16.7878,5.281,9.2019,10.6671,1.3823,8.7377,24.9073,12.3117,0.659,21.5042,20.1379,5.3741,0.1651316711820663,0.01796817548116514,0.08031408420693253,0.06690177970770517
2020-05-01,23.0124,15.5964,4.8801,9.2505,10.7042,1.3897,8.7839,24.4033,12.1022,0.6457,21.1403,19.847,5.2832,0.15049223204787698,-0.020098867373088636,-0.030252686336257995,-0.04284472270916562
2020-04-01,19.9177,13.3707,4.2238,8.1726,9.886,1.2277,7.7604,23.0426,11.4435,0.6179,20.3848,19.2375,5.0944,0.08216466495809827,-0.005256385722067658,0.020650027713218888,0.017214843287820303
2020-03-01,21.5812,13.8921,4.6143,9.5283,9.9586,1.4297,8.8379,21.8379,10.9674,0.5856,25.0378,22.614,6.1368,0.1553739649373871,0.13188481068143498,0.07452792101091776,0.0461573827046482
2020-02-01,24.4351,15.8793,5.2245,10.5224,10.6222,1.5788,9.76,23.219,11.5319,0.6226,27.3361,24.3856,6.7001,-0.06755379745122725,-0.13877551999415683,0.05516332568965154,-0.17274269505923467
2020-01-01,23.183,15.2575,4.9568,9.813,10.134,1.4724,9.102,23.9128,11.6867,0.6535,25.9084,23.2687,6.3502,-0.11679749451666177,-0.09448276214798634,-0.05948115164897538,-0.08407521165559928
2019-12-01,22.5242,14.2476,4.7513,9.3565,9.8701,1.4838,8.8398,23.9631,11.7313,0.6549,25.136,23.4621,6.3344,0.054009706630362864,0.0722918639395107,-0.03228279720783145,0.05510381828455735
2019-11-01,20.9659,13.1733,4.4226,9.3064,9.8339,1.4759,8.7925,23.5949,11.582,0.6449,25.6208,23.8579,6.4566,0.10208271236387545,0.008725454095026564,-0.002099001357462882,0.04425927726808476
2019-10-01,18.8765,11.9554,3.9819,10.1199,10.4237,1.6049,9.5611,24.2699,11.6166,0.6611,25.6255,23.8204,6.4578,0.07432897964545404,0.005384054968637475,0.015606152125480222,-0.018923234831857094
2019-09-01,17.7743,10.9889,3.7893,8.9825,7.8914,1.4917,8.7116,23.3661,11.2911,0.6364,25.6358,23.9135,6.6544,0.1106841723238503,-0.08038775312016233,-0.011964670704094127,0.007126200792646031
2019-08-01,18.1405,11.2427,3.8673,9.8248,8.5002,1.6316,9.5285,22.5726,10.9743,0.6148,24.5133,23.0026,6.3631,0.07703846658675939,0.08561513587062342,0.0437966728594501,-0.0109012971388609
2019-07-01,16.853,10.5618,3.5928,9.1395,8.0107,1.5178,8.8639,22.5134,10.9839,0.6232,23.7169,22.3116,6.1563,-0.020184147487581017,-0.08573933722655713,0.03515128212545382,0.04579142459794672
2019-06-01,14.7417,8.9564,3.2286,8.8662,7.5243,1.3938,8.8609,20.6694,10.2818,0.5722,23.1771,22.249,6.033,0.07639462127550556,0.07498184505115613,-0.0009958077348938277,0.0416507765801597
2019-05-01,16.8973,10.7755,3.7007,9.7934,8.142,1.5396,9.7876,20.9547,10.3965,0.5801,23.1441,22.2219,6.0244,0.13487245309159945,0.09881158632890141,0.09500156863556297,0.03643381960472514
2019-04-01,15.9946,10.122,3.503,9.8513,8.2045,1.5487,9.8455,19.8323,10.2181,0.5551,22.1062,21.4089,5.7543,-0.12757242162510352,-0.09467458217573677,-0.013613641332070214,0.0014267969836174732
2019-03-01,14.2566,8.6283,3.2077,9.1459,9.0341,1.5113,10.1501,20.1292,10.4543,0.5634,21.3294,21.8812,5.6298,0.05643583642659422,-0.005882414259858693,0.060118851042215926,0.05608845587250566
2019-02-01,13.7041,8.2304,3.0834,8.9003,8.9886,1.4707,9.8774,19.4866,10.173,0.5455,22.6419,22.9578,5.9763,0.10173066850285184,0.0334033104969107,-0.014748958313908989,0.03352402231534879
2019-01-01,12.9878,7.7743,2.9222,7.5264,7.8575,1.2437,8.3527,19.2549,10.5199,0.5359,22.275,22.6335,5.8794,0.04031493907507455,0.027599888486567803,0.03297490377201129,-0.0579681154091799
2018-12-01,15.0919,8.8607,3.3413,8.3771,8.3165,1.3559,8.2069,20.185,10.9415,0.5618,24.1616,24.2967,6.1665,0.05515395466150075,0.18254615627998727,0.03438476895861187,0.016473461071975226
2018-11-01,18.496,11.4236,4.095,7.7812,7.8365,1.2595,7.6231,20.7287,11.2639,0.5769,22.9535,23.2217,5.8582,-0.11361648341388797,-0.07364831765567126,-0.046082822098581167,-0.05308697983105193
2018-10-01,19.0774,11.8298,4.2237,10.1932,9.8151,1.6499,9.986,19.7384,10.114,0.5447,22.1433,22.4841,5.6514,-0.18404449920557542,0.07658329051104351,-0.026226682154610326,0.05263166990163182
2018-09-01,20.8833,12.3552,4.5025,9.9983,9.8346,1.5978,10.2576,20.1482,10.368,0.556,22.2992,22.6743,5.4097,-0.030477561573501788,-0.23662463046750126,0.06783104855542388,0.045405101267789405
2018-08-01,17.4577,10.0902,3.7639,9.8925,9.7483,1.5809,10.1491,18.7547,9.7334,0.5175,23.3299,23.582,5.6598,-0.004824922864487546,0.04344380332258102,-0.014652385872877094,0.03634725880067058
2018-07-01,16.9824,9.941,3.6615,9.5355,9.5015,1.5238,9.7828,18.8242,9.3517,0.5039,21.944,22.3721,5.3235,0.1962267931419297,0.010694675754399308,0.07430258426940717,-0.0441774303134278
2018-06-01,18.2188,10.1221,3.862,9.8592,9.8427,1.5633,8.9239,18.1407,9.0601,0.4856,20.681,23.804,5.1836,0.027983353976895664,0.03743739664380663,0.04179810205215273,0.07262385744920241
2018-05-01,16.1119,9.0752,3.4154,10.1139,10.0531,1.6037,9.1544,19.4418,9.6237,0.5204,20.782,23.9486,5.209,-0.005598557936199122,-0.0004190295211360384,0.04421583183800615,0.020000215369531116
